"","country","year","xVXa","xSES","xRISK","xHIV","xTB","xtype","xcause","yVXa","ySES","yRISK","yHIV","yTB","ytype","ycause","fn","age_from","age_thru","value","lo","hi","err","name","type","model","fit","residuals","weighted_residuals"
"1","IND",2015.5,"all","all","all","all","Ds, Dc","stock",NA,"all","all","all","all","all","stock",NA,"1e5*x/y",0,99,315.1468923,210.8245515,528.9734359,159.0744422,"TB_prev_0_99","prev",43.9151100821041,FALSE,-271.231782217896,-1.70506197266361
"2","IND",2021.5,"all","all","all","all","C, I","stock",NA,"all","all","all","all","all","stock",NA,"x/y",15,99,0.314,0.114,0.514,0.0225,"TB_LTBIp_15_99","ratio",0.401273626300836,TRUE,0.0872736263008363,3.87882783559273
"3","IND",2021.5,"all","all","all","all","Ds, Dc","stock",NA,"all","all","all","all","all","stock",NA,"1e5*x/y",15,99,393.6222054,275.5355438,511.708867,118.0866616,"TB_prevwider_15_99","prev",34.3980727911599,FALSE,-359.22413260884,-3.04203817553633
"4","IND",2021.5,"all","all","all","all","Ds, Dc","stock",NA,"all","all","all","all","all","stock",NA,"1e5*x/y",0,99,312,218.4,405.6,93.6,"TB_prevwider_0_99","prev",30.3278979820021,FALSE,-281.672102017998,-3.00931732925211
"5","IND",2000.5,"all","all","all","all","TBdead","inflow","TBp, TBtr_died","all","all","all","all","all","stock",NA,"1e5*x/y",0,99,67,57,79,11,"TB_deaths_0_99","inci",10.7180773439333,FALSE,-56.2819226560667,-5.11653842327879
"6","IND",2020.5,"all","all","all","all","Ds","stock",NA,"all","all","all","all","Ds,Dc","stock",NA,"x/y",0,99,0.504,0.361,0.797,0.218,"TB_subclinpr_0_99","ratio",0.635402864354617,TRUE,0.131402864354617,0.602765432819344
"7","IND",2020.5,"all","all","all","all","TBdead","inflow","TBp, TBtr_died","all","all","all","all","all","stock",NA,"1e5*x/y",0,99,37,34,40,3,"TB_deaths_0_99","inci",2.81511467894367,FALSE,-34.1848853210563,-11.3949617736854
"8","IND",2000.5,"all","all","all","all","Ds","inflow","TBp","all","all","all","all","all","stock",NA,"1e5*x/y",0,99,289,99,578,239.5,"TB_inci_0_99","inci",154.071709092277,TRUE,-134.928290907723,-0.563374909844356
"9","IND",2020.5,"all","all","all","all","Ds","inflow","TBp","all","all","all","all","all","stock",NA,"1e5*x/y",0,99,188,129,257,67,"TB_inci_0_99","inci",47.957345714919,FALSE,-140.042654285081,-2.09018886992658
"10","IND",2020.5,"all","all","all","all","Ds","inflow","TBp","all","all","all","all","all","stock",NA,"1e5*x/y",0,14,91,56,126,35,"TB_inci_0_14","inci",30.6638769590802,FALSE,-60.3361230409198,-1.72388922974056
"11","IND",2020.5,"all","all","all","all","Ds","inflow","TBp","all","all","all","all","all","stock",NA,"1e5*x/y",15,99,224,138,310,86,"TB_inci_15_99","inci",54.0845667518919,FALSE,-169.915433248108,-1.97576085172219
"12","IND",2000.5,"all","all","all","all","T","inflow","TBtr_init","all","all","all","all","all","stock",NA,"1e5*x/y",0,99,177,142,212,35,"TB_notif_0_99","inci",23.8970150589509,FALSE,-153.102984941049,-4.37437099831569
"13","IND",2020.5,"all","all","all","all","T","inflow","TBtr_init","all","all","all","all","all","stock",NA,"1e5*x/y",0,99,135.63,108.51,162.76,27.125,"TB_notif_0_99","inci",7.54556041986039,FALSE,-128.08443958014,-4.72200698912957
"14","IND",2020.5,"all","all","all","all","T","inflow","TBtr_init","all","all","all","all","all","stock",NA,"1e5*x/y",0,14,33,26,40,7,"TB_notif_0_14","inci",2.51029764530203,FALSE,-30.489702354698,-4.35567176495685
"15","IND",2020.5,"all","all","all","all","T","inflow","TBtr_init","all","all","all","all","all","stock",NA,"1e5*x/y",15,99,173,138,208,35,"TB_notif_15_99","inci",9.32959625642698,FALSE,-163.670403743573,-4.67629724981637
